sale_id,business_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,event_ts
S000010009,2026-07-05,ST028,C000166,P00044,4,3293.22,5,UPI,2026-07-05T16:03:00
S000010010,2026-07-05,ST010,C000363,P00132,1,1619.49,20,CARD,2026-07-05T15:20:00
S000010011,2026-07-05,ST017,C000032,P00004,1,3427.15,0,CASH,2026-07-05T11:37:00
S000010012,2026-07-05,ST014,C000279,P00146,5,1384.51,5,CASH,2026-07-05T21:11:00
S000010013,2026-07-05,ST001,C001539,P00136,3,4327.44,0,UPI,2026-07-05T09:34:00
S000010014,2026-07-05,ST016,C001921,P00173,5,2699.76,10,WALLET,2026-07-05T13:56:00
S000010015,2026-07-05,ST022,C001401,P00218,2,6327.36,10,CARD,2026-07-05T14:39:00
S000010016,2026-07-05,ST009,C000886,P00239,4,895.02,5,CARD,2026-07-05T21:00:00
S000010017,2026-07-05,ST010,C000434,P00062,3,1628.11,0,WALLET,2026-07-05T13:50:00
S000010018,2026-07-05,ST028,C000647,P00211,1,1598.44,0,CARD,2026-07-05T14:42:00
S000010019,2026-07-05,ST007,C000426,P00077,1,5125.04,10,CASH,2026-07-05T21:36:00
S000010020,2026-07-05,ST014,C000462,P00211,4,1598.44,15,WALLET,2026-07-05T21:26:00
S000010021,2026-07-05,ST012,C001487,P00211,3,1598.44,0,UPI,2026-07-05T10:51:00
S000010022,2026-07-05,ST001,C000327,P00223,5,4775.33,0,WALLET,2026-07-05T10:42:00
S000010023,2026-07-05,ST006,C001162,P00251,5,6496.7,0,CARD,2026-07-05T13:00:00
S000010024,2026-07-05,ST014,C000491,P00256,4,4352.39,5,UPI,2026-07-05T10:51:00
S000010025,2026-07-05,ST005,C000788,P00128,5,4758.01,15,CASH,2026-07-05T11:48:00
S000010026,2026-07-05,ST012,C001431,P00236,3,1342.31,5,CARD,2026-07-05T20:47:00
S000010027,2026-07-05,ST005,C000186,P00191,3,4463.98,0,CARD,2026-07-05T14:16:00
S000010028,2026-07-05,ST022,C001839,P00174,1,1777.27,0,UPI,2026-07-05T21:19:00
S000010029,2026-07-05,ST014,C001160,P00143,3,575.49,10,CASH,2026-07-05T21:51:00
S000010030,2026-07-05,ST007,C001289,P00079,3,2621.56,10,UPI,2026-07-05T17:17:00
S000010031,2026-07-05,ST013,C001586,P00294,1,1157.16,5,UPI,2026-07-05T20:15:00
S000010032,2026-07-05,ST014,C001935,P00245,5,3514.48,0,CARD,2026-07-05T21:35:00
S000010033,2026-07-05,ST007,C000924,P00035,3,543.42,0,WALLET,2026-07-05T09:26:00
S000010034,2026-07-05,ST023,C001916,P00174,5,1777.27,0,CARD,2026-07-05T21:29:00
S000010035,2026-07-05,ST013,C000013,P00110,5,4613.77,15,CASH,2026-07-05T17:33:00
S000010036,2026-07-05,ST023,C001534,P00162,5,1702.89,20,WALLET,2026-07-05T12:48:00
S000010037,2026-07-05,ST027,C000396,P00164,4,1418.87,20,CASH,2026-07-05T21:40:00
S000010038,2026-07-05,ST004,C001378,P00265,3,404.48,5,CARD,2026-07-05T10:03:00
S000010039,2026-07-05,ST018,C001332,P00119,5,123.74,0,CARD,2026-07-05T18:48:00
S000010040,2026-07-05,ST014,C001963,P00200,4,5142.75,0,CARD,2026-07-05T19:50:00
S000010041,2026-07-05,ST012,C000012,P00109,4,625.95,20,CARD,2026-07-05T18:13:00
S000010042,2026-07-05,ST004,C001439,P00258,5,3735.08,5,CARD,2026-07-05T15:42:00
S000010043,2026-07-05,ST027,C001477,P00073,3,4747.54,0,CASH,2026-07-05T10:31:00
