customer_id,customer_name,gender,city,state,region,join_date,loyalty_tier
C000001,Customer 1,M,Hyderabad,Telangana,South,2022-10-20,GOLD
C000002,Customer 2,F,Chandigarh,Chandigarh,North,2023-08-24,SILVER
C000003,Customer 3,M,Mumbai,Maharashtra,West,2024-12-10,GOLD
C000004,Customer 4,M,Jaipur,Rajasthan,North,2023-08-17,SILVER
C000005,Customer 5,F,Delhi,Delhi,North,2023-06-29,STANDARD
C000006,Customer 6,O,Pune,Maharashtra,West,2024-07-26,SILVER
C000007,Customer 7,M,Delhi,Delhi,North,2022-06-04,SILVER
C000008,Customer 8,M,Hyderabad,Telangana,South,2023-09-22,STANDARD
C000009,Customer 9,M,Chandigarh,Chandigarh,North,2022-08-18,GOLD
C000010,Customer 10,M,Jaipur,Rajasthan,North,2023-07-31,GOLD
C000011,Customer 11,F,Jaipur,Rajasthan,North,2024-10-09,STANDARD
C000012,Customer 12,O,Chandigarh,Chandigarh,North,2022-03-09,STANDARD
C000013,Customer 13,M,Pune,Maharashtra,West,2023-08-31,GOLD
C000014,Customer 14,F,Mumbai,Maharashtra,West,2022-03-09,SILVER
C000015,Customer 15,O,Bengaluru,Karnataka,South,2026-01-29,GOLD
C000016,Customer 16,M,Pune,Maharashtra,West,2025-10-18,GOLD
C000017,Customer 17,O,Kolkata,West Bengal,East,2024-05-07,STANDARD
C000018,Customer 18,O,Jaipur,Rajasthan,North,2023-06-02,GOLD
C000019,Customer 19,M,Chandigarh,Chandigarh,North,2022-04-18,GOLD
C000020,Customer 20,F,Hyderabad,Telangana,South,2025-02-17,GOLD
C000021,Customer 21,F,Jaipur,Rajasthan,North,2024-02-02,STANDARD
C000022,Customer 22,O,Pune,Maharashtra,West,2023-07-24,STANDARD
C000023,Customer 23,O,Pune,Maharashtra,West,2022-01-27,SILVER
C000024,Customer 24,O,Kolkata,West Bengal,East,2022-11-23,SILVER
C000025,Customer 25,O,Delhi,Delhi,North,2025-10-04,SILVER
C000026,Customer 26,M,Mumbai,Maharashtra,West,2023-10-03,GOLD
C000027,Customer 27,O,Mumbai,Maharashtra,West,2023-08-13,SILVER
C000028,Customer 28,O,Chandigarh,Chandigarh,North,2025-02-06,SILVER
C000029,Customer 29,O,Chandigarh,Chandigarh,North,2025-10-23,STANDARD
C000030,Customer 30,F,Jaipur,Rajasthan,North,2025-08-10,SILVER
C000031,Customer 31,O,Kolkata,West Bengal,East,2023-10-30,SILVER
C000032,Customer 32,F,Pune,Maharashtra,West,2023-03-16,SILVER
C000033,Customer 33,F,Delhi,Delhi,North,2023-09-11,GOLD
C000034,Customer 34,F,Mumbai,Maharashtra,West,2025-01-26,GOLD
C000035,Customer 35,F,Bengaluru,Karnataka,South,2023-10-28,GOLD
C000036,Customer 36,F,Kolkata,West Bengal,East,2024-06-20,STANDARD
C000037,Customer 37,O,Kolkata,West Bengal,East,2023-07-17,STANDARD
C000038,Customer 38,M,Bengaluru,Karnataka,South,2023-06-12,SILVER
C000039,Customer 39,O,Jaipur,Rajasthan,North,2025-09-21,SILVER
C000040,Customer 40,O,Hyderabad,Telangana,South,2026-01-25,SILVER
C000041,Customer 41,F,Pune,Maharashtra,West,2023-10-08,STANDARD
C000042,Customer 42,F,Pune,Maharashtra,West,2025-04-28,STANDARD
C000043,Customer 43,O,Mumbai,Maharashtra,West,2024-12-27,SILVER
C000044,Customer 44,F,Delhi,Delhi,North,2024-02-07,GOLD
C000045,Customer 45,M,Hyderabad,Telangana,South,2022-11-11,STANDARD
C000046,Customer 46,M,Mumbai,Maharashtra,West,2023-04-23,SILVER
C000047,Customer 47,F,Bengaluru,Karnataka,South,2022-10-13,SILVER
C000048,Customer 48,F,Hyderabad,Telangana,South,2022-04-27,SILVER
C000049,Customer 49,O,Kolkata,West Bengal,East,2023-06-23,SILVER
C000050,Customer 50,F,Pune,Maharashtra,West,2024-07-25,GOLD
C000051,Customer 51,M,Kolkata,West Bengal,East,2023-10-28,STANDARD
C000052,Customer 52,O,Kolkata,West Bengal,East,2023-04-16,STANDARD
C000053,Customer 53,O,Hyderabad,Telangana,South,2024-05-09,SILVER
C000054,Customer 54,M,Pune,Maharashtra,West,2022-09-13,STANDARD
C000055,Customer 55,M,Delhi,Delhi,North,2023-01-31,GOLD
C000056,Customer 56,O,Chandigarh,Chandigarh,North,2023-10-29,SILVER
C000057,Customer 57,F,Kolkata,West Bengal,East,2025-09-17,GOLD
C000058,Customer 58,F,Kolkata,West Bengal,East,2025-01-10,SILVER
C000059,Customer 59,O,Chandigarh,Chandigarh,North,2023-09-17,STANDARD
C000060,Customer 60,O,Chandigarh,Chandigarh,North,2023-12-18,SILVER
C000061,Customer 61,O,Bengaluru,Karnataka,South,2026-01-15,SILVER
C000062,Customer 62,M,Delhi,Delhi,North,2025-12-11,SILVER
C000063,Customer 63,O,Delhi,Delhi,North,2023-10-17,SILVER
C000064,Customer 64,O,Chandigarh,Chandigarh,North,2022-04-20,SILVER
C000065,Customer 65,F,Chandigarh,Chandigarh,North,2024-07-03,GOLD
C000066,Customer 66,M,Delhi,Delhi,North,2022-09-13,SILVER
C000067,Customer 67,M,Kolkata,West Bengal,East,2024-03-08,STANDARD
C000068,Customer 68,M,Delhi,Delhi,North,2023-04-15,GOLD
C000069,Customer 69,M,Chandigarh,Chandigarh,North,2022-07-23,GOLD
C000070,Customer 70,F,Pune,Maharashtra,West,2025-07-17,SILVER
C000071,Customer 71,O,Hyderabad,Telangana,South,2025-06-26,STANDARD
C000072,Customer 72,F,Jaipur,Rajasthan,North,2022-09-24,SILVER
C000073,Customer 73,O,Pune,Maharashtra,West,2023-02-04,STANDARD
C000074,Customer 74,F,Kolkata,West Bengal,East,2024-05-12,SILVER
C000075,Customer 75,O,Delhi,Delhi,North,2025-08-11,SILVER
C000076,Customer 76,O,Kolkata,West Bengal,East,2025-11-10,STANDARD
C000077,Customer 77,F,Chandigarh,Chandigarh,North,2023-10-01,GOLD
C000078,Customer 78,M,Chandigarh,Chandigarh,North,2023-06-09,GOLD
C000079,Customer 79,F,Jaipur,Rajasthan,North,2022-07-06,SILVER
C000080,Customer 80,O,Kolkata,West Bengal,East,2025-11-16,STANDARD
C000081,Customer 81,O,Hyderabad,Telangana,South,2024-10-13,GOLD
C000082,Customer 82,F,Chandigarh,Chandigarh,North,2022-07-21,SILVER
C000083,Customer 83,M,Kolkata,West Bengal,East,2023-11-12,GOLD
C000084,Customer 84,M,Kolkata,West Bengal,East,2025-10-09,STANDARD
C000085,Customer 85,O,Chandigarh,Chandigarh,North,2025-10-28,STANDARD
C000086,Customer 86,F,Jaipur,Rajasthan,North,2025-07-04,STANDARD
C000087,Customer 87,O,Jaipur,Rajasthan,North,2026-01-25,STANDARD
C000088,Customer 88,O,Hyderabad,Telangana,South,2024-02-15,SILVER
C000089,Customer 89,O,Chandigarh,Chandigarh,North,2023-03-27,GOLD
C000090,Customer 90,M,Jaipur,Rajasthan,North,2024-04-04,STANDARD
C000091,Customer 91,F,Hyderabad,Telangana,South,2023-10-17,GOLD
C000092,Customer 92,M,Mumbai,Maharashtra,West,2023-09-13,GOLD
C000093,Customer 93,M,Bengaluru,Karnataka,South,2022-12-09,SILVER
C000094,Customer 94,O,Mumbai,Maharashtra,West,2024-05-25,STANDARD
C000095,Customer 95,F,Bengaluru,Karnataka,South,2025-10-19,GOLD
C000096,Customer 96,F,Bengaluru,Karnataka,South,2025-10-29,GOLD
C000097,Customer 97,M,Mumbai,Maharashtra,West,2024-04-05,SILVER
C000098,Customer 98,F,Jaipur,Rajasthan,North,2023-04-18,GOLD
C000099,Customer 99,F,Mumbai,Maharashtra,West,2024-08-16,GOLD
C000100,Customer 100,O,Delhi,Delhi,North,2023-04-23,SILVER
C000101,Customer 101,O,Jaipur,Rajasthan,North,2024-07-03,STANDARD
C000102,Customer 102,M,Delhi,Delhi,North,2022-05-21,STANDARD
C000103,Customer 103,F,Delhi,Delhi,North,2024-10-19,GOLD
C000104,Customer 104,O,Hyderabad,Telangana,South,2025-11-11,GOLD
C000105,Customer 105,O,Delhi,Delhi,North,2024-04-10,GOLD
C000106,Customer 106,M,Chandigarh,Chandigarh,North,2025-01-16,STANDARD
C000107,Customer 107,O,Hyderabad,Telangana,South,2025-02-10,SILVER
C000108,Customer 108,M,Delhi,Delhi,North,2024-12-23,STANDARD
C000109,Customer 109,F,Mumbai,Maharashtra,West,2024-12-07,SILVER
C000110,Customer 110,O,Delhi,Delhi,North,2023-02-24,STANDARD
C000111,Customer 111,F,Bengaluru,Karnataka,South,2023-05-14,SILVER
C000112,Customer 112,F,Chandigarh,Chandigarh,North,2022-07-09,STANDARD
C000113,Customer 113,M,Bengaluru,Karnataka,South,2024-08-15,STANDARD
C000114,Customer 114,M,Delhi,Delhi,North,2025-02-16,GOLD
